filename,name,grade,index_fk_rus,fk_grade_diff,index_cl_rus,cl_grade_diff,index_dc_rus,dc_grade_diff,index_SMOG_rus,SMOG_grade_diff,index_ari_rus,ari_grade_diff,chars,spaces,letters,n_syllabes,n_words,n_complex_words,n_simple_words,n_sentences,c_share,avg_syl,avg_slen,wsyllabes
gaidar_baraban.txt,Гайдар. Судьба барабанщика,4,5.14161171032,-1.14161171032,5.76090909091,-1.76090909091,5.72447227956,-1.72447227956,6.47613766449,-2.47613766449,5.34420096229,-1.34420096229,4330,686,3416,1451,649,28,621,53,4.31432973806,2.23574730354,12.2452830189,"{'1': 197, '3': 129, '2': 228, '5': 25, '4': 67, '6': 3}"
ryb_kortik.txt,Рыбаков. Кортик,4,5.45565768826,-1.45565768826,5.72110220441,-1.72110220441,5.29570575048,-1.29570575048,6.03087630335,-2.03087630335,5.69336641079,-1.69336641079,3467,523,2739,1169,499,27,472,59,5.41082164329,2.34268537074,8.45762711864,"{'1': 133, '3': 116, '2': 172, '5': 24, '4': 51, '6': 2, '8': 1}"
ryb_bird.txt,Рыбаков. Бронзовая птица,4,7.40806085535,-3.40806085535,7.66092970522,-3.66092970522,5.67874877393,-1.67874877393,6.51604368453,-2.51604368453,7.57979436271,-3.57979436271,3154,460,2518,1076,441,23,418,43,5.21541950113,2.43990929705,10.2558139535,"{'1': 97, '3': 98, '2': 165, '5': 17, '4': 58, '6': 5, '8': 1}"
tolst_nikita.txt,Толстой. Детство Никиты,4,6.41613236515,-2.41613236515,7.22082987552,-3.22082987552,5.69462925311,-1.69462925311,6.45602450823,-2.45602450823,7.00380093361,-3.00380093361,3546,716,2669,1123,482,21,461,40,4.35684647303,2.32987551867,12.05,"{'1': 127, '3': 131, '2': 158, '5': 19, '4': 45, '6': 2}"
alisa_advent.txt,Кир Булычев. Приключения Алисы,5,8.25016950195,-3.25016950195,7.78334289813,-2.78334289813,7.69836226686,-2.69836226686,8.67808260993,-3.67808260993,8.01352956548,-3.01352956548,4831,735,3830,1643,697,40,657,42,5.73888091822,2.35724533716,16.5952380952,"{'1': 218, '3': 149, '2': 202, '5': 29, '4': 88, '7': 1, '6': 6, '9': 2, '8': 2}"
text_paust.txt,Паустовский. Старик в станционном буфете,6,4.83707478786,1.16292521214,4.86693301049,1.13306698951,4.37939943394,1.62060056606,5.03226720344,0.967732796559,4.74543114816,1.25456885184,8472,1295,6618,2851,1239,47,1192,148,3.79338175948,2.30104923325,8.37162162162,"{'1': 342, '3': 271, '2': 433, '5': 39, '4': 146, '7': 3, '6': 5}"
text_paust2.txt,Паустовский. Драгоценная пыль,6,5.73918547565,0.260814524351,6.04821543408,-0.0482154340836,4.84660371736,1.15339628264,5.51519065935,0.484809340646,5.75893647557,0.241063524429,17127,2639,13498,5786,2488,94,2394,246,3.77813504823,2.32556270096,10.1138211382,"{'1': 668, '3': 584, '2': 848, '5': 74, '4': 294, '7': 4, '6': 16}"
text_avenger.txt,Солоухин. Мститель,6,2.28919405586,3.71080594414,3.44440550688,2.55559449312,4.07374206682,1.92625793318,4.38582953096,1.61417046904,2.79531614677,3.20468385323,10397,1871,7913,3328,1598,38,1560,158,2.37797246558,2.08260325407,10.1139240506,"{'1': 555, '3': 302, '2': 572, '5': 31, '4': 131, '7': 2, '6': 5}"
text_srezal.txt,Шукшин. Срезал,6,4.00911601205,1.99088398795,4.33159600998,1.66840399002,4.43344074709,1.56655925291,5.04696852546,0.953031474539,4.70429768028,1.29570231972,14350,2225,10823,4560,2005,92,1913,288,4.5885286783,2.27431421446,6.96180555556,"{'1': 649, '3': 435, '2': 595, '5': 77, '4': 234, '7': 2, '6': 12, '9': 1}"
text_morning.txt,Юрий Казаков. Тихое утро,7,3.18306023482,3.81693976518,3.15818553092,3.84181446908,3.79165824765,3.20834175235,4.36749806939,2.63250193061,3.41960486434,3.58039513566,24452,4790,17815,7604,3428,119,3309,499,3.47141190198,2.21820303384,6.86973947896,"{'1': 1040, '3': 824, '2': 1155, '5': 97, '4': 290, '7': 2, '6': 19, '9': 1}"
text_dvakap.txt,Вениамин Александрович Каверин. Два капитана.,7,3.18609973046,3.81390026954,4.7627672956,2.2372327044,4.31559433962,2.68440566038,4.47057688543,2.52942311457,4.21341442049,2.78658557951,4200,689,3258,1347,636,14,622,56,2.20125786164,2.1179245283,11.3571428571,"{'1': 203, '3': 140, '2': 232, '5': 12, '4': 47, '6': 2}"
